"dpr","partai","provinsi"
"http://id.dbpedia.org/resource/Hidayat_Nur_Wahid","http://id.dbpedia.org/resource/Partai_Keadilan_Sejahtera","http://id.dbpedia.org/resource/Jawa_Tengah"
"http://id.dbpedia.org/resource/Taufiq_Kiemas","http://id.dbpedia.org/resource/Partai_Demokrasi_Indonesia_Perjuangan","http://id.dbpedia.org/resource/Sumatera_Selatan"
"http://id.dbpedia.org/resource/Dede_Yusuf","http://id.dbpedia.org/resource/Partai_Demokrat","http://id.dbpedia.org/resource/Jawa_Barat"
"http://id.dbpedia.org/resource/Taufiq_Kiemas","http://id.dbpedia.org/resource/Partai_Demokrasi_Indonesia_Perjuangan","http://id.dbpedia.org/resource/Sumatera_Barat"
"http://id.dbpedia.org/resource/Irwan_Prayitno","http://id.dbpedia.org/resource/Partai_Keadilan_Sejahtera","http://id.dbpedia.org/resource/Sumatera_Barat"
"http://id.dbpedia.org/resource/Anis_Matta","http://id.dbpedia.org/resource/Partai_Keadilan_Sejahtera","http://id.dbpedia.org/resource/Sulawesi_Selatan"
"http://id.dbpedia.org/resource/Nizar_Dahlan","http://id.dbpedia.org/resource/Partai_Bulan_Bintang","http://id.dbpedia.org/resource/Bengkulu"
"http://id.dbpedia.org/resource/Hidayat_Nur_Wahid","http://id.dbpedia.org/resource/Partai_Amanat_Nasional","http://id.dbpedia.org/resource/Jawa_Tengah"
"http://id.dbpedia.org/resource/Suswono","http://id.dbpedia.org/resource/Partai_Keadilan_Sejahtera","http://id.dbpedia.org/resource/Jawa_Tengah"
"http://id.dbpedia.org/resource/Laode_Masihu_Kamaluddin","http://id.dbpedia.org/resource/Partai_Persatuan_Pembangunan","http://id.dbpedia.org/resource/Jawa_Tengah"
"http://id.dbpedia.org/resource/Marwoto_Mintohardjono","http://id.dbpedia.org/resource/Partai_Amanat_Nasional","http://id.dbpedia.org/resource/Jawa_Tengah"
"http://id.dbpedia.org/resource/Laode_Masihu_Kamaluddin","http://id.dbpedia.org/resource/Partai_Persatuan_Pembangunan","http://id.dbpedia.org/resource/Jawa_Timur"
"http://id.dbpedia.org/resource/Muhaimin_Iskandar","http://id.dbpedia.org/resource/Partai_Kebangkitan_Bangsa","http://id.dbpedia.org/resource/Jawa_Timur"
"http://id.dbpedia.org/resource/Adjie_Massaid","http://id.dbpedia.org/resource/Partai_Demokrat","http://id.dbpedia.org/resource/Daerah_Khusus_Ibukota_Jakarta"
"http://id.dbpedia.org/resource/Angelina_Sondakh","http://id.dbpedia.org/resource/Partai_Demokrat","http://id.dbpedia.org/resource/Sulawesi_Utara"
"http://id.dbpedia.org/resource/Adrian_Tapada","http://id.dbpedia.org/resource/Partai_Damai_Sejahtera","http://id.dbpedia.org/resource/Sulawesi_Utara"
"http://id.dbpedia.org/resource/Panda_Nababan","http://id.dbpedia.org/resource/Partai_Demokrasi_Indonesia_Perjuangan","http://id.dbpedia.org/resource/Sumatera_Utara"
"http://id.dbpedia.org/resource/Dede_Yusuf","http://id.dbpedia.org/resource/Partai_Amanat_Nasional","http://id.dbpedia.org/resource/Jawa_Barat"
"http://id.dbpedia.org/resource/Angelina_Sondakh","http://id.dbpedia.org/resource/Partai_Demokrat","http://id.dbpedia.org/resource/Jawa_Barat"
"http://id.dbpedia.org/resource/Daday_Hudaya","http://id.dbpedia.org/resource/Partai_Demokrat","http://id.dbpedia.org/resource/Jawa_Barat"
"http://id.dbpedia.org/resource/Ahmad_Kurdi_Moekri","http://id.dbpedia.org/resource/Partai_Persatuan_Pembangunan","http://id.dbpedia.org/resource/Jawa_Barat"
"http://id.dbpedia.org/resource/Laode_Masihu_Kamaluddin","http://id.dbpedia.org/resource/Partai_Persatuan_Pembangunan","http://id.dbpedia.org/resource/Jawa_Barat"
"http://id.dbpedia.org/resource/Marwoto_Mintohardjono","http://id.dbpedia.org/resource/Partai_Amanat_Nasional","http://id.dbpedia.org/resource/Jawa_Barat"
"http://id.dbpedia.org/resource/Helmy_Faishal_Zaini","http://id.dbpedia.org/resource/Partai_Kebangkitan_Bangsa","http://id.dbpedia.org/resource/Jawa_Barat"
"http://id.dbpedia.org/resource/Suharso_Monoarfa","http://id.dbpedia.org/resource/Partai_Persatuan_Pembangunan","http://id.dbpedia.org/resource/Nusa_Tenggara_Barat"
"http://id.dbpedia.org/resource/Asman_Abnur","http://id.dbpedia.org/resource/Partai_Amanat_Nasional","http://id.dbpedia.org/resource/Sumatera_Barat"
"http://id.dbpedia.org/resource/Nizar_Dahlan","http://id.dbpedia.org/resource/Partai_Bulan_Bintang","http://id.dbpedia.org/resource/Sumatera_Barat"
"http://id.dbpedia.org/resource/A._M._Fatwa","http://id.dbpedia.org/resource/Partai_Amanat_Nasional","http://id.dbpedia.org/resource/Sulawesi_Selatan"
"http://id.dbpedia.org/resource/Laode_Masihu_Kamaluddin","http://id.dbpedia.org/resource/Partai_Persatuan_Pembangunan","http://id.dbpedia.org/resource/Sulawesi_Tenggara"
